Username,Bet_mean,Bet_std,Bet_sum,Bet_count,CashedOut_mean,CashedOut_std,Profit_mean,Profit_sum,BustedAt_mean,Bonus_mean,Bonus_sum,risk_tolerance,win_rate,Cluster,PlayerType
41945897,1392.9,3057.9128121427316,13929.0,10.0,0.9030000000000001,0.47888875998967073,88.7375,709.9,1.737,0.96,7.68,0.5303308527017394,0.05096561131452365,1,Conservative players
44jew,750.0,5220.477516005981,750.0,1.0,1.56,0.9979762599360468,442.14,442.14,2.22,2.95,2.95,1.0595065232282992,0.5895199999999999,1,Conservative players
4_2_0,434.8333333333333,1011.9271548222563,2609.0,6.0,0.5316666666666666,0.8607070736706343,1296.74,2593.48,2.6616666666666666,2.865,5.73,1.618884778063889,0.994051360674588,1,Conservative players
4eldobrek,4.0,6.708203932499369,20.0,5.0,0.738,0.6736987457313544,0.25666666666666665,0.77,1.404,2.6666666666666665,8.0,0.9128709291752769,0.0385,1,Conservative players
4fIGHty,7261.506024096386,28314.32202595707,602705.0,83.0,1.0087951807228916,2.133600185184749,6193.9775,173431.37,7.635542168674699,2.4185714285714286,67.72,2.114998392097625,0.28775498792941817,0,Risk-takers
4head,2700.0,3252.6911934581185,5400.0,2.0,0.57,0.8061017305526641,700.0,700.0,7.78,0.0,0.0,1.414213562373095,0.12962962962962962,1,Conservative players
4loko,1300.0,5220.477516005981,1300.0,1.0,1.05,0.9979762599360468,106.67,106.67,1.55,3.21,3.21,1.0595065232282992,0.08205384615384616,1,Conservative players
4uvak_Eto_Rep4ik,6000.0,5220.477516005981,6000.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.14,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
5tupid8ot,85.0,5220.477516005981,85.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.17,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
7013145,9.666666666666666,10.263202878893768,29.0,3.0,2.0,1.7320508075688772,28.37,56.74,2.8366666666666664,3.95,7.9,0.8660254037844386,1.956551724137931,1,Conservative players
741741,4.0,5220.477516005981,4.0,1.0,1.03,0.9979762599360468,0.12,0.12,5.4,0.0,0.0,1.0595065232282992,0.03,1,Conservative players
7773,4250.0,3889.0872965260114,8500.0,2.0,0.79,1.1172287142747452,925.39,925.39,1.87,3.69,3.69,1.4142135623730951,0.10886941176470588,1,Conservative players
777DiM4Ik777,259.5,493.67094303797137,1038.0,4.0,0.6074999999999999,0.7015874856352555,124.64999999999999,249.29999999999998,8.4225,0.835,1.67,1.1548765195642068,0.24017341040462425,1,Conservative players
7LsW41klO,3.0,2.8284271247461903,6.0,2.0,1.4,0.14142135623730956,1.0,2.0,17.62,0.0,0.0,0.10101525445522112,0.3333333333333333,1,Conservative players
7bhnk,1012.5,1396.5358928434314,2025.0,2.0,1.3,0.28284271247461895,527.36,1054.72,4.245,1.955,3.91,0.21757131728816842,0.5208493827160494,1,Conservative players
7lava,25.75,44.7744346697979,309.0,12.0,1.1,0.0,2.584166666666667,31.01,2.9625000000000004,0.9166666666666666,11.0,0.0,0.10035598705501618,1,Conservative players
7yffar,205.0,275.77164466275354,410.0,2.0,1.045,1.4778531726798843,436.0,436.0,5.385,0.0,0.0,1.4142135623730951,1.0634146341463415,1,Conservative players
8illy8unny,25324.0,9441.289742402783,50648.0,2.0,2.015,0.8555992052357225,21857.47,43714.94,3.12,1.035,2.07,0.42461499019142557,0.8631128573685042,1,Conservative players
917,130.0,14.142135623730951,260.0,2.0,0.0,0.0,2939.6622407368804,0.0,1.1749999999999998,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
945k,11.0,5220.477516005981,11.0,1.0,1.05,0.9979762599360468,0.55,0.55,3.71,0.0,0.0,1.0595065232282992,0.05,1,Conservative players
96dacker,3000.0,2828.42712474619,6000.0,2.0,1.1,0.0,309.28499999999997,618.5699999999999,9.205,0.93,1.86,0.0,0.10309499999999999,1,Conservative players
999DRAGON999,37.37623762376238,131.36276881104084,3775.0,101.0,1.261980198019802,5.646505471493317,83.56333333333333,2506.9,7.824752475247524,2.228333333333333,66.85,4.474321768561313,0.6640794701986755,0,Risk-takers
999_,306.6666666666667,49.57149718672347,920.0,3.0,1.2300000000000002,0.2515949125081825,80.99666666666667,242.99,1.7533333333333332,2.106666666666667,6.32,0.2045487093562459,0.2641195652173913,1,Conservative players
9Gramm,2750.0,3181.9805153394636,5500.0,2.0,0.55,0.7778174593052023,500.0,500.0,3.26,0.0,0.0,1.414213562373095,0.09090909090909091,1,Conservative players
ADM,910.9375,1625.6198599816214,14575.0,16.0,1.03125,0.7650087145473137,285.7736363636364,3143.51,3.7862500000000003,2.6354545454545457,28.990000000000002,0.7418266322883041,0.21567821612349916,1,Conservative players
AEVCOM,4.0,5220.477516005981,4.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.0,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AKKI,3837.0,7491.628568968473,53718.0,14.0,0.6335714285714286,0.9354275628153818,496.052,2480.26,3.448571428571429,1.6320000000000001,8.16,1.4764358375891031,0.046171860456457804,1,Conservative players
AL3X,1500.0,5220.477516005981,1500.0,1.0,1.04,0.9979762599360468,60.0,60.0,3.19,0.0,0.0,1.0595065232282992,0.04,1,Conservative players
ALFREDNATION,1666.6666666666667,1329.1601358251257,10000.0,6.0,1.0666666666666667,0.524086506854228,499.946,2499.73,2.5616666666666665,1.15,5.75,0.49133110017583875,0.249973,1,Conservative players
ALIEN_SULACO,35.73076923076923,78.78403782102448,929.0,26.0,0.05,0.25495097567963926,90.0,90.0,3.8607692307692307,0.0,0.0,5.0990195135927845,0.0968783638320775,1,Conservative players
ALT-delete,260.0,226.27416997969522,520.0,2.0,1.0750000000000002,0.03535533905932733,15.5,31.0,3.495,0.0,0.0,0.03288868749704867,0.05961538461538462,1,Conservative players
AMG360,34.0,36.76955262170047,68.0,2.0,0.0,0.0,2939.6622407368804,0.0,2.4,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AMG81,6.266666666666667,11.529258845381586,94.0,15.0,1.5826666666666669,2.4703685863411056,10.816923076923075,140.61999999999998,6.601333333333333,0.7323076923076923,9.52,1.5608900082188955,1.4959574468085104,1,Conservative players
ANK_oco,1250.0,1060.6601717798212,2500.0,2.0,0.525,0.7424621202458749,25.0,25.0,8.095,0.0,0.0,1.414213562373095,0.01,1,Conservative players
ARCNET,1479.0,5220.477516005981,1479.0,1.0,1.15,0.9979762599360468,221.85,221.85,2.32,0.0,0.0,1.0595065232282992,0.15,1,Conservative players
ARMAGEDON2020,44.44444444444444,58.72644099377104,1200.0,27.0,0.9751851851851852,1.1068644916379795,43.96357142857143,615.49,4.124444444444444,2.037857142857143,28.53,1.135030052192383,0.5129083333333333,1,Conservative players
ARTEMMMMMMM,238.42857142857142,202.04608149533374,1669.0,7.0,1.1285714285714286,0.6019808571549036,65.04,390.24,2.992857142857143,2.103333333333333,12.62,0.533400759504345,0.2338166566806471,1,Conservative players
ASHYR,1000.0,5220.477516005981,1000.0,1.0,1.33,0.9979762599360468,354.44,354.44,1.34,2.44,2.44,1.0595065232282992,0.35444,1,Conservative players
Abaseen,4000.0,1414.213562373095,8000.0,2.0,1.0550000000000002,0.04949747468305845,272.375,544.75,6.755,0.58,1.16,0.046917037614273405,0.06809375,1,Conservative players
Abdi90,1111.0,5220.477516005981,1111.0,1.0,1.34,0.9979762599360468,453.11,453.11,2.13,6.78,6.78,1.0595065232282992,0.4078397839783979,1,Conservative players
Abegail,26.0,33.94112549695428,52.0,2.0,1.63,0.11313708498984763,15.51,31.02,2.58,3.06,6.12,0.06940925459499855,0.5965384615384616,1,Conservative players
Aberam08,15.0,5.0,45.0,3.0,1.1333333333333333,1.0598742063723097,12.86,25.72,8.530000000000001,2.225,4.45,0.935183123269685,0.5715555555555555,1,Conservative players
AbortedEmbryo,714.7916666666666,3152.038003053744,34310.0,48.0,0.961875,0.3318847290916762,88.22674418604652,3793.75,3.8368750000000005,0.583953488372093,25.11,0.3450393544812748,0.1105727193238123,1,Conservative players
AceManagement,1866.6666666666667,1975.6855350316591,5600.0,3.0,0.52,0.9006664199358162,840.0,840.0,1.8433333333333335,0.0,0.0,1.7320508075688772,0.15,1,Conservative players
Aces,10000.0,5220.477516005981,10000.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.41,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AcidMath,142.5,180.31222920256963,285.0,2.0,1.4100000000000001,0.45254833995939026,17.825,35.65,2.27,1.335,2.67,0.3209562694747448,0.1250877192982456,1,Conservative players
Ackaron,43.35849056603774,147.23660894309683,2298.0,53.0,0.5660377358490566,2.3329531793437606,45.160000000000004,135.48000000000002,36.123396226415096,3.4333333333333336,10.3,4.1215506168406435,0.05895561357702351,1,Conservative players
Ackaron76,22.13157894736842,40.696713087672705,1682.0,76.0,0.7476315789473684,1.6751301389611915,25.42866666666667,381.43,4.197631578947369,3.0046666666666666,45.07,2.240582375238482,0.2267717003567182,0,Risk-takers
Adam_Smitt,13.75,13.59840676942217,55.0,4.0,1.125,0.05686240703077312,2.2800000000000002,9.120000000000001,9.182500000000001,0.0,0.0,0.05054436180513166,0.16581818181818184,1,Conservative players
Adaptation,110.4,108.35656338028726,3312.0,30.0,1.0653333333333335,0.230407934090721,16.910689655172416,490.41,17.733,1.0417241379310345,30.21,0.21627778544185322,0.14807065217391305,1,Conservative players
Addict3d,1291.6896551724137,192.40212789294714,37459.0,29.0,5.180344827586207,11.788497263603624,30862.12833333333,185172.77,16.614482758620692,3.64,21.84,2.275620186677129,4.943345257481512,1,Conservative players
Adinoza,1750.0,1767.7669529663688,3500.0,2.0,1.07,0.05656854249492385,172.5,345.0,4.12,0.0,0.0,0.052867796724227895,0.09857142857142857,1,Conservative players
AdmiralNelson18,5.75,1.5,23.0,4.0,1.25,0.0,1.5825,6.33,80.375,2.3375,9.35,0.0,0.2752173913043478,1,Conservative players
Aelear,150.0,5220.477516005981,150.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.15,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Aerotos,30.0,5220.477516005981,30.0,1.0,1.5,0.9979762599360468,15.49,15.49,9.36,1.63,1.63,1.0595065232282992,0.5163333333333333,1,Conservative players
